difficulty,num_nodes,granularity,trial_id,client_dequeue_first,client_dequeue_all,coord_discretized,coord_mpi_recv_first,coord_net_send_first,coord_mpi_recv_all,coord_net_send_all
default,1,5,1,0.034642904,14.970257960,0.033833089,0.034150921,0.034220936,14.927493961,14.927523476
default,1,5,2,0.034635851,15.028230505,0.033818023,0.034130429,0.034191125,15.027936557,15.027964824
default,1,5,3,0.034893880,14.762220055,0.034041491,0.034390781,0.034445982,14.761919990,14.761944256
default,1,5,4,0.034618092,14.626365051,0.033770196,0.034112029,0.034174188,14.626105730,14.626134317
default,1,5,5,0.034589471,15.037467772,0.033887446,0.034133710,0.034210480,14.993924691,14.993956308
default,1,5,6,0.034175448,14.788615144,0.033366743,0.033694316,0.033759580,14.788313598,14.788355493
default,1,5,7,0.034690411,14.943834206,0.033981034,0.034221300,0.034288953,14.943556613,14.943595074
default,1,5,8,0.034862472,14.840970940,0.034041234,0.034381786,0.034458339,14.840675525,14.840713666
default,1,5,9,0.034113127,14.671927436,0.033291094,0.033622764,0.033696813,14.671695939,14.671739488
default,1,5,10,0.037345653,14.960121061,0.036504436,0.036840310,0.036904988,14.919198949,14.919230738
default,1,10,1,0.009415231,13.862028028,0.008361660,0.008883904,0.008952212,13.861758695,13.861792569
default,1,10,2,0.009401672,13.794198287,0.008492739,0.008890844,0.008957737,13.793914776,13.793952048
default,1,10,3,0.009135936,13.805206478,0.008284514,0.008646933,0.008730068,13.804972743,13.805019520
default,1,10,4,0.009183655,13.831428384,0.008319049,0.008676729,0.008747557,13.831135903,13.831161943
default,1,10,5,0.005146363,13.773578712,0.004386198,0.004660155,0.004729739,13.773369345,13.773402272
default,1,10,6,0.009148403,13.795816539,0.008372028,0.008635172,0.008706790,13.795575020,13.795608156
default,1,10,7,0.009217984,13.730351857,0.008353488,0.008702811,0.008771507,13.730072670,13.730103203
default,1,10,8,0.009219356,13.704804583,0.008341454,0.008701589,0.008773117,13.704515305,13.704556254
default,1,10,9,0.009256346,13.773785045,0.008428863,0.008767381,0.008839927,13.773492360,13.773527040
default,1,10,10,0.009811325,13.711057100,0.008793787,0.009363733,0.009424640,13.710783040,13.710811048
default,1,20,1,0.002927984,13.640681685,0.002120552,0.002476719,0.002548706,13.640257130,13.640300590
default,1,20,2,0.002923861,13.638017597,0.002088130,0.002462869,0.002533727,13.637512143,13.637576709
default,1,20,3,0.002926649,13.668488213,0.002102618,0.002473881,0.002549041,13.667999691,13.668044761
default,1,20,4,0.002982414,13.628142085,0.002125976,0.002495800,0.002576378,13.627580258,13.627624727
default,1,20,5,0.002911042,13.671798266,0.002079157,0.002436017,0.002492375,13.671245078,13.671295698
default,1,20,6,0.003290914,13.628294868,0.002549903,0.002830003,0.002919902,13.627786752,13.627835516
default,1,20,7,0.002823118,13.624406135,0.002122941,0.002393480,0.002464770,13.623836331,13.623886686
default,1,20,8,0.002910712,13.597890140,0.002099257,0.002467284,0.002551246,13.597336019,13.597383686
default,1,20,9,0.002941238,13.625912667,0.002117319,0.002482164,0.002566645,13.625413811,13.625467334
default,1,20,10,0.002828735,13.686106550,0.002107622,0.002380077,0.002457582,13.685596294,13.685646102
default,1,40,1,0.001569545,13.881384095,0.000477947,0.001057191,0.001133242,13.880813919,13.880866274
default,1,40,2,0.001459505,13.887193775,0.000475365,0.000999704,0.001098408,13.886672900,13.886729181
default,1,40,3,0.001247918,13.882949615,0.000470191,0.000898149,0.000983872,13.882444198,13.882499585
default,1,40,4,0.001377187,13.882559400,0.000452909,0.000890676,0.000975163,13.881986959,13.882037063
default,1,40,5,0.001378924,13.887317089,0.000475987,0.000849753,0.000915814,13.886698975,13.886755065
default,1,40,6,0.001372865,13.886524260,0.000464490,0.000861946,0.000934054,13.885970276,13.886026846
default,1,40,7,0.001303426,13.880858833,0.000497846,0.000800651,0.000884775,13.880274859,13.880325791
default,1,40,8,0.001417546,13.888892845,0.000493146,0.000916393,0.000983909,13.888332269,13.888388330
default,1,40,9,0.001429227,13.914744803,0.000478961,0.000931325,0.000998656,13.914171231,13.914224598
default,1,40,10,0.001403386,13.880402219,0.000501347,0.000909022,0.000964132,13.879838898,13.879915919
default,1,60,1,0.001268371,15.133289498,0.000215091,0.000817224,0.000914068,15.132900347,15.132947913
default,1,60,2,0.001430504,15.141686959,0.000247833,0.000869801,0.000959575,15.141169874,15.141225290
default,1,60,3,0.001154402,15.132296964,0.000251644,0.000614520,0.000693289,15.131776033,15.131833115
default,1,60,4,0.001056371,15.132350943,0.000237731,0.000574316,0.000643662,15.131899313,15.131951286
default,1,60,5,0.001071396,15.132885409,0.000247501,0.000581610,0.000658730,15.132421383,15.132477808
default,1,60,6,0.001135736,15.132920163,0.000240508,0.000578092,0.000648679,15.132399966,15.132456140
default,1,60,7,0.001150259,15.133099314,0.000226928,0.000667578,0.000750912,15.132664806,15.132713517
default,1,60,8,0.001233930,15.135728633,0.000234345,0.000679014,0.000779585,15.135260915,15.135316590
default,1,60,9,0.001063408,15.206667984,0.000186073,0.000478862,0.000547166,15.206119457,15.206171499
default,1,60,10,0.001310462,15.140416428,0.000222536,0.000745260,0.000824887,15.139927740,15.139981596
default,1,120,1,0.001687652,17.101261088,0.000094329,0.000781307,0.000873959,17.100435769,17.100526586
default,1,120,2,0.001604495,17.100276802,0.000105551,0.000646394,0.000761776,17.099395015,17.099482431
default,1,120,3,0.001514092,17.101307901,0.000068015,0.000622835,0.000702064,17.100528823,17.100602365
default,1,120,4,0.001519224,17.114652314,0.000100866,0.000604807,0.000691881,17.113802310,17.113878356
default,1,120,5,0.001693139,17.099155271,0.000120756,0.000758298,0.000878436,17.098333595,17.098409450
default,1,120,6,0.001488585,17.099433891,0.000067680,0.000611862,0.000725074,17.098657205,17.098731101
default,1,120,7,0.001632996,17.103134533,0.000070936,0.000663110,0.000765900,17.102292694,17.102366415
default,1,120,8,0.001557892,17.099495090,0.000103664,0.000685827,0.000773653,17.098684814,17.098760615
default,1,120,9,0.001665536,17.107460193,0.000118868,0.000689997,0.000793282,17.106607816,17.106685270
default,1,120,10,0.001777960,17.101491341,0.000117371,0.000689696,0.000821551,17.100567027,17.100651372
default,2,5,1,0.033161173,11.644180748,0.032253476,0.032672759,0.032732343,11.643871480,11.643896559
default,2,5,2,0.033179232,11.549248245,0.032409395,0.032675478,0.032742029,11.548957531,11.548997814
default,2,5,3,0.032987988,11.685761284,0.032087353,0.032494275,0.032544903,11.685498191,11.685525883
default,2,5,4,0.033407861,11.637151118,0.032494651,0.032895095,0.032964195,11.636866622,11.636892099
default,2,5,5,0.033160401,11.667245867,0.032318049,0.032742962,0.032799674,11.666949749,11.666978259
default,2,5,6,0.035880065,11.232114042,0.035064362,0.035468019,0.035530054,11.231880049,11.231911823
default,2,5,7,0.030836351,11.224344812,0.029956715,0.030365824,0.030426576,11.224066257,11.224102228
default,2,5,8,0.030980044,11.341080394,0.030265649,0.030538538,0.030594138,11.340798856,11.340836720
default,2,5,9,0.033243935,11.279803343,0.032486384,0.032844684,0.032894312,11.279489880,11.279518476
default,2,5,10,0.032813444,11.182029977,0.031987932,0.032382146,0.032447052,11.181734501,11.181775433
default,2,10,1,0.008992945,7.572530646,0.008047573,0.008470975,0.008532506,7.572239116,7.572273330
default,2,10,2,0.009451576,7.651485212,0.008572268,0.008985687,0.009050716,7.651247862,7.651273084
default,2,10,3,0.008139706,7.573456945,0.007377235,0.007764024,0.007848695,7.573180531,7.573214773
default,2,10,4,0.008807146,7.645240639,0.008022136,0.008308099,0.008358033,7.644860951,7.644895998
default,2,10,5,0.008842105,7.604374539,0.008062641,0.008343791,0.008401695,7.604160189,7.604192668
default,2,10,6,0.008819471,7.798880564,0.008066213,0.008334042,0.008384074,7.798594374,7.798635894
default,2,10,7,0.008711268,7.626918211,0.008051973,0.008286377,0.008339053,7.582894480,7.582920427
default,2,10,8,0.009016278,7.590394488,0.008148355,0.008539909,0.008601919,7.590134842,7.590161533
default,2,10,9,0.008858813,7.745834433,0.007947847,0.008374180,0.008438213,7.745572346,7.745612924
default,2,10,10,0.008959261,7.666578360,0.008105442,0.008515732,0.008571541,7.666325591,7.666357247
default,2,20,1,0.002776888,6.816425275,0.001858573,0.002289557,0.002365001,6.815909728,6.815960452
default,2,20,2,0.002830595,6.803597385,0.002029461,0.002425605,0.002495817,6.803107500,6.803149681
default,2,20,3,0.002801997,6.807087987,0.001974367,0.002362374,0.002426866,6.806551144,6.806599740
default,2,20,4,0.002892050,6.799473860,0.002004193,0.002422373,0.002499360,6.798988240,6.799034144
default,2,20,5,0.002925731,6.803220588,0.002054124,0.002477885,0.002552177,6.802732083,6.802775433
default,2,20,6,0.002920020,6.816032358,0.002027190,0.002472993,0.002542955,6.815714892,6.815747529
default,2,20,7,0.002842680,6.804424586,0.002093621,0.002374675,0.002443640,6.803878254,6.803924319
default,2,20,8,0.002833541,6.808075426,0.002057913,0.002344197,0.002414297,6.807522576,6.807572133
default,2,20,9,0.002956899,6.811600655,0.002030994,0.002478043,0.002550722,6.811021430,6.811068220
default,2,20,10,0.002876425,6.803949533,0.002002939,0.002412979,0.002483461,6.803410240,6.803452767
default,2,40,1,0.001266339,7.144488582,0.000422912,0.000880599,0.000954983,7.143945084,7.143992106
default,2,40,2,0.001383725,7.147100389,0.000438271,0.000890814,0.000962939,7.146797913,7.146835610
default,2,40,3,0.001167082,7.146775609,0.000386016,0.000707583,0.000765221,7.146321293,7.146365898
default,2,40,4,0.001484855,7.145321157,0.000478188,0.000942712,0.001020639,7.144794560,7.144840083
default,2,40,5,0.001348294,7.142721188,0.000404676,0.000853628,0.000920882,7.142401596,7.142439142
default,2,40,6,0.001334093,7.150920706,0.000422258,0.000874230,0.000942259,7.150383967,7.150428083
default,2,40,7,0.001143015,7.143121182,0.000437783,0.000701227,0.000769970,7.142793722,7.142847157
default,2,40,8,0.001282989,7.144149099,0.000452170,0.000783725,0.000861926,7.143890854,7.143931420
default,2,40,9,0.001300573,7.144524562,0.000452309,0.000802694,0.000870282,7.143977932,7.144028921
default,2,40,10,0.001464239,7.151001812,0.000509339,0.000984093,0.001061835,7.150501332,7.150550501
default,2,60,1,0.001149152,8.233361671,0.000233548,0.000605231,0.000676757,8.232870293,8.232925999
default,2,60,2,0.001066364,8.233120305,0.000179360,0.000501918,0.000587074,8.232607017,8.232661377
default,2,60,3,0.001118759,8.233606458,0.000202126,0.000730071,0.000814189,8.233180988,8.233233527
default,2,60,4,0.001129748,8.233880487,0.000207269,0.000702357,0.000785477,8.233456766,8.233512452
default,2,60,5,0.001274247,8.233441152,0.000229008,0.000736039,0.000824467,8.232958091,8.233013016
default,2,60,6,0.001149930,8.233385998,0.000209291,0.000592079,0.000664027,8.232926252,8.232978145
default,2,60,7,0.001117688,8.232475066,0.000202429,0.000583706,0.000644246,8.231975014,8.232028461
default,2,60,8,0.001051279,8.231657925,0.000203965,0.000558634,0.000635905,8.231185629,8.231237267
default,2,60,9,0.001144374,8.232909517,0.000215061,0.000573068,0.000699323,8.232407986,8.232460830
default,2,60,10,0.001142572,8.274368870,0.000204046,0.000710967,0.000795429,8.273948490,8.274002084
default,2,120,1,0.001698288,12.819378047,0.000094580,0.000791677,0.000908409,12.818551900,12.818614637
default,2,120,2,0.001584265,12.817269670,0.000121468,0.000691595,0.000816399,12.816523819,12.816588529
default,2,120,3,0.001625186,12.817687944,0.000102603,0.000692726,0.000783173,12.816900568,12.816971607
default,2,120,4,0.001510710,12.815241609,0.000084380,0.000620095,0.000703682,12.814047469,12.814122668
default,2,120,5,0.001592562,12.843361296,0.000091124,0.000712359,0.000819700,12.842591703,12.842653787
default,2,120,6,0.001544089,12.856826415,0.000084744,0.000661529,0.000745961,12.856068529,12.856137094
default,2,120,7,0.001519321,12.831274762,0.000096699,0.000666105,0.000770923,12.830535199,12.830593945
default,2,120,8,0.001627335,12.837906633,0.000088713,0.000660888,0.000741895,12.837094528,12.837157512
default,2,120,9,0.001709309,12.817586197,0.000105728,0.000813318,0.000925027,12.816810988,12.816871541
default,2,120,10,0.001597094,12.817875918,0.000089684,0.000761733,0.000848194,12.817074865,12.817150195
default,3,5,1,0.032589133,10.838781469,0.031724661,0.032121173,0.032180392,10.794422081,10.794449480
default,3,5,2,0.032453180,10.675081669,0.031597625,0.032010830,0.032071028,10.674827916,10.674855855
default,3,5,3,0.032358929,10.825169869,0.031491858,0.031887985,0.031942735,10.824897298,10.824936513
default,3,5,4,0.032658264,10.691964163,0.031765061,0.032161929,0.032219817,10.691690251,10.691726198
default,3,5,5,0.032329533,11.293513022,0.031593153,0.031871766,0.031927515,11.293305550,11.293334386
default,3,5,6,0.032337513,10.936363511,0.031435280,0.031840999,0.031898599,10.936089783,10.936132442
default,3,5,7,0.039455024,11.124205918,0.038695519,0.038963507,0.039016675,11.123888181,11.123934984
default,3,5,8,0.033227392,11.118531207,0.032234974,0.032811619,0.032885773,11.118256855,11.118284586
default,3,5,9,0.032327290,10.818570312,0.031557444,0.031836039,0.031902344,10.818300583,10.818336589
default,3,5,10,0.032560485,10.913729529,0.031678509,0.032140520,0.032205750,10.913519981,10.913547909
default,3,10,1,0.008666113,5.693822277,0.007809207,0.008197606,0.008261629,5.693584562,5.693609272
default,3,10,2,0.008705908,5.683449654,0.007921828,0.008206190,0.008259383,5.683242989,5.683269041
default,3,10,3,0.008815457,5.829210473,0.008124482,0.008411401,0.008467632,5.828996661,5.829020824
default,3,10,4,0.008686895,5.684104149,0.007875210,0.008184063,0.008241768,5.683874422,5.683899394
default,3,10,5,0.008030314,5.749059539,0.007248672,0.007543944,0.007601640,5.748787042,5.748818558
default,3,10,6,0.010397230,5.853072520,0.009654652,0.009940781,0.009994661,5.852748023,5.852792369
default,3,10,7,0.008030795,5.681900049,0.007252543,0.007558531,0.007611249,5.681598947,5.681624762
default,3,10,8,0.008636326,5.697723734,0.007931996,0.008207855,0.008268769,5.697455583,5.697488967
default,3,10,9,0.010700314,5.742702701,0.009698576,0.010242567,0.010317509,5.742448199,5.742473325
default,3,10,10,0.008816614,5.645878221,0.007991975,0.008385072,0.008442230,5.645599379,5.645633368
default,3,20,1,0.002961505,4.644134722,0.001995777,0.002556454,0.002630808,4.643652477,4.643698929
default,3,20,2,0.002837562,4.641397506,0.001978080,0.002403905,0.002476579,4.640836528,4.640881564
default,3,20,3,0.002719605,4.640353383,0.002009973,0.002299273,0.002363098,4.639850298,4.639907491
default,3,20,4,0.002742616,4.686189883,0.001973882,0.002282000,0.002349234,4.685919745,4.685965378
default,3,20,5,0.003233853,4.640644079,0.002346769,0.002792090,0.002857115,4.640157154,4.640202371
default,3,20,6,0.002601128,4.643493410,0.001951741,0.002273840,0.002335390,4.642951587,4.642999647
default,3,20,7,0.003045993,4.643229277,0.001941365,0.002552153,0.002629702,4.642711610,4.642758240
default,3,20,8,0.002748082,4.674551929,0.002002435,0.002301168,0.002374048,4.674020762,4.674067847
default,3,20,9,0.002688996,4.648896016,0.001987189,0.002267548,0.002332897,4.648405944,4.648455200
default,3,20,10,0.002732888,4.637768161,0.001964518,0.002284473,0.002356110,4.637214922,4.637262543
default,3,40,1,0.001155587,4.962797787,0.000452910,0.000784873,0.000863438,4.962295783,4.962349711
default,3,40,2,0.001207615,4.961692619,0.000385947,0.000717774,0.000784843,4.961177313,4.961224434
default,3,40,3,0.001381712,4.963973541,0.000479244,0.000954453,0.001028625,4.963482589,4.963532879
default,3,40,4,0.001058542,4.968466521,0.000279931,0.000601492,0.000651036,4.967923448,4.967968985
default,3,40,5,0.001247387,4.963353036,0.000420130,0.000762504,0.000825994,4.962792336,4.962841964
default,3,40,6,0.001348056,4.966210058,0.000445153,0.000900886,0.000970852,4.965699695,4.965749093
default,3,40,7,0.001383741,4.966752754,0.000436820,0.000893924,0.000966321,4.966219383,4.966268846
default,3,40,8,0.001335325,4.966509569,0.000418081,0.000878949,0.000944725,4.966059543,4.966109813
default,3,40,9,0.001342182,4.965388266,0.000407977,0.000862028,0.000968727,4.964887803,4.964933844
default,3,40,10,0.001239473,4.968845827,0.000428378,0.000793164,0.000855956,4.968311049,4.968361278
default,3,60,1,0.001257054,6.370298035,0.000209620,0.000715725,0.000795481,6.369733286,6.369787811
default,3,60,2,0.001210614,6.372829523,0.000206209,0.000728131,0.000792935,6.372326444,6.372375803
default,3,60,3,0.001173177,6.384132002,0.000225623,0.000616107,0.000682268,6.383660201,6.383709748
default,3,60,4,0.001023737,6.372718690,0.000201337,0.000559761,0.000649512,6.372217199,6.372267371
default,3,60,5,0.001124504,6.374134534,0.000206370,0.000586362,0.000659998,6.373559795,6.373611508
default,3,60,6,0.001140098,6.370337780,0.000217442,0.000590609,0.000661885,6.369779428,6.369828673
default,3,60,7,0.001133283,6.376230123,0.000221368,0.000731313,0.000809510,6.375708226,6.375766216
default,3,60,8,0.001235065,6.373051186,0.000191703,0.000684392,0.000761098,6.372547960,6.372599975
default,3,60,9,0.001112287,6.370255283,0.000225397,0.000738761,0.000814105,6.369757146,6.369812666
default,3,60,10,0.001265666,6.372954635,0.000223710,0.000724813,0.000807318,6.372402645,6.372453093
default,3,120,1,0.001713382,12.816701868,0.000099876,0.000822182,0.000933189,12.814715982,12.814785814
default,3,120,2,0.001606031,12.820186829,0.000100105,0.000687327,0.000770750,12.819334774,12.819396714
default,3,120,3,0.001698481,12.822151758,0.000098074,0.000793778,0.000884513,12.821370152,12.821433497
default,3,120,4,0.001685816,12.820581739,0.000085501,0.000788500,0.000893136,12.819820751,12.819890991
default,3,120,5,0.001702620,12.816780990,0.000084051,0.000807499,0.000927483,12.814566376,12.814636088
default,3,120,6,0.001602202,12.819890325,0.000093175,0.000699573,0.000800311,12.819092641,12.819155715
default,3,120,7,0.001515508,12.821018592,0.000083714,0.000683268,0.000761600,12.820295579,12.820357828
default,3,120,8,0.001583130,12.821146568,0.000098557,0.000705237,0.000783124,12.820366729,12.820429376
default,3,120,9,0.001732890,12.821076752,0.000086984,0.000811545,0.000927757,12.820285761,12.820346578
default,3,120,10,0.001711054,12.820193590,0.000086610,0.000786408,0.000871448,12.819415683,12.819477473
default,4,5,1,0.032368718,12.132694564,0.031627784,0.031892628,0.031959309,12.132420524,12.132467722
default,4,5,2,0.032502629,11.877695328,0.031775391,0.032069322,0.032125812,11.877413016,11.877458040
default,4,5,3,0.032820161,11.550330623,0.031940276,0.032416843,0.032470321,11.550046176,11.550092123
default,4,5,4,0.029419427,11.234255898,0.028516295,0.028917056,0.028974719,11.233956543,11.233988926
default,4,5,5,0.032227051,11.461304105,0.031412278,0.031807657,0.031881503,11.461078794,11.461107787
default,4,5,6,0.033237057,11.215766373,0.032135719,0.032733906,0.032796818,11.215491393,11.215527107
default,4,5,7,0.032077215,11.682374718,0.031211119,0.031604152,0.031659820,11.682070394,11.682117324
default,4,5,8,0.032484582,11.518301780,0.031535612,0.032016878,0.032090486,11.518093459,11.518122166
default,4,5,9,0.032490784,11.270323943,0.031616932,0.031903809,0.032043587,11.270036857,11.270085418
default,4,5,10,0.031593461,11.481127431,0.030486806,0.031090519,0.031153590,11.480893808,11.480921996
default,4,10,1,0.008834029,4.806511076,0.007872147,0.008427481,0.008491566,4.806287634,4.806312725
default,4,10,2,0.008676913,4.903746603,0.007866119,0.008262333,0.008316549,4.903458623,4.903498929
default,4,10,3,0.008729714,4.874063345,0.007985677,0.008280778,0.008349652,4.873809277,4.873833302
default,4,10,4,0.008676850,4.857622557,0.007898519,0.008301672,0.008359650,4.857412208,4.857436534
default,4,10,5,0.008070558,4.915920529,0.007131706,0.007572440,0.007640110,4.915631049,4.915668528
default,4,10,6,0.008726146,4.983935689,0.007859498,0.008292645,0.008349044,4.983709326,4.983736871
default,4,10,7,0.008863034,4.836755725,0.007968281,0.008377446,0.008438873,4.836542044,4.836589052
default,4,10,8,0.008977258,4.868293020,0.007906322,0.008507013,0.008565726,4.868068009,4.868091191
default,4,10,9,0.008953046,4.793029214,0.007924809,0.008427668,0.008495883,4.792742291,4.792781725
default,4,10,10,0.008781265,4.819569379,0.007862442,0.008268389,0.008336419,4.819346109,4.819371334
default,4,20,1,0.002808738,3.591569049,0.001937874,0.002426096,0.002496002,3.591082656,3.591131289
default,4,20,2,0.001963963,3.614150164,0.001132390,0.001475688,0.001528592,3.613560429,3.613607822
default,4,20,3,0.001957400,3.603191827,0.001205137,0.001535073,0.001620686,3.602661733,3.602699164
default,4,20,4,0.002838735,3.591264720,0.001976126,0.002380544,0.002444301,3.590704730,3.590749634
default,4,20,5,0.002547265,3.587930017,0.001754729,0.002072692,0.002151478,3.587376231,3.587422948
default,4,20,6,0.002692255,3.589060897,0.001984345,0.002282402,0.002350601,3.588558055,3.588600734
default,4,20,7,0.002730241,3.593229832,0.001969100,0.002268204,0.002331151,3.592753602,3.592800801
default,4,20,8,0.002789763,3.584586580,0.001981404,0.002418674,0.002488881,3.584099279,3.584146814
default,4,20,9,0.002739673,3.589017772,0.001998265,0.002292811,0.002362354,3.588460639,3.588507990
default,4,20,10,0.002914450,3.587992808,0.002063312,0.002501771,0.002567992,3.587498570,3.587546245
default,4,40,1,0.001374184,4.225692158,0.000444494,0.000918995,0.000994054,4.225166800,4.225216405
default,4,40,2,0.001332824,4.226095750,0.000437915,0.000896454,0.000968965,4.225587081,4.225635486
default,4,40,3,0.001344838,4.224308427,0.000423047,0.000904066,0.000976857,4.223826545,4.223874683
default,4,40,4,0.001311776,4.229084197,0.000425221,0.000904445,0.000975717,4.228536766,4.228586874
default,4,40,5,0.001251603,4.228192453,0.000460963,0.000823317,0.000895363,4.227655614,4.227708975
default,4,40,6,0.001286824,4.227311588,0.000439438,0.000775871,0.000847244,4.226779174,4.226828014
default,4,40,7,0.001244889,4.226651477,0.000431855,0.000758782,0.000822811,4.226073104,4.226119960
default,4,40,8,0.001419691,4.226769262,0.000460938,0.000910968,0.000990340,4.226213842,4.226261769
default,4,40,9,0.001403243,4.225722946,0.000442954,0.000904082,0.000974699,4.225227583,4.225275847
default,4,40,10,0.001385593,4.224242309,0.000432140,0.000924335,0.001001164,4.223746693,4.223794426
default,4,60,1,0.001301896,4.905720612,0.000240214,0.000746992,0.000832563,4.905228866,4.905282083
default,4,60,2,0.001212832,4.906053451,0.000212480,0.000717513,0.000790979,4.905574362,4.905627449
default,4,60,3,0.001202455,4.906746905,0.000224353,0.000735018,0.000815342,4.906183594,4.906233792
default,4,60,4,0.001212026,4.905474866,0.000232666,0.000723243,0.000796504,4.905040453,4.905098685
