difficulty,num_nodes,granularity,trial_id,worker_id,compute_time,pixel_count,iterations
default,1,5,1,1,13.443909945,85375,2266905826
default,1,5,1,2,13.439789516,99825,2261168842
default,1,5,1,3,13.458809171,93325,2268836725
default,1,5,1,4,13.443316320,87475,2267288356
default,1,5,1,5,13.485827928,87000,2272740233
default,1,5,1,6,13.422469293,105750,2250544386
default,1,5,1,7,13.454882041,95775,2268887084
default,1,5,1,8,13.463806961,84200,2270252027
default,1,5,1,9,13.409142668,91375,2261175792
default,1,5,1,10,13.453815710,93600,2268793604
default,1,5,1,11,13.446106627,96100,2267358463
default,1,5,1,12,13.440165690,90850,2266628248
default,1,5,1,13,13.435871032,90375,2264014127
default,1,5,1,14,13.467397907,84725,2263280660
default,1,5,1,15,13.477729006,83950,2272747841
default,1,5,1,16,13.466170052,93825,2270265313
default,1,5,1,17,13.454983613,86825,2268462912
default,1,5,1,18,13.439028637,89250,2265372579
default,1,5,1,19,13.412504828,93625,2261296942
default,1,5,1,20,13.475420172,81150,2272605374
default,1,5,1,21,13.457009452,80900,2269278434
default,1,5,1,22,13.459988047,83525,2258561668
default,1,5,1,23,13.431883259,94800,2263846170
default,1,5,2,1,13.474822778,84425,2272342839
default,1,5,2,2,13.466683968,86725,2270865308
default,1,5,2,3,13.456270450,92800,2269124756
default,1,5,2,4,13.457369093,86700,2269324166
default,1,5,2,5,13.448430210,82725,2267810067
default,1,5,2,6,13.458234543,90825,2269451427
default,1,5,2,7,13.453737918,93325,2268732537
default,1,5,2,8,13.440546411,93375,2266595024
default,1,5,2,9,13.444306184,91350,2267200806
default,1,5,2,10,13.428255071,98825,2257902986
default,1,5,2,11,13.391653099,101775,2258136423
default,1,5,2,12,13.438466428,95200,2253751663
default,1,5,2,13,13.462890404,83800,2270220700
default,1,5,2,14,13.462238067,86250,2269914564
default,1,5,2,15,13.477130900,83600,2272769836
default,1,5,2,16,13.453805078,92675,2259640457
default,1,5,2,17,13.432541266,94300,2265207481
default,1,5,2,18,13.469964251,86075,2271649271
default,1,5,2,19,13.452726252,88025,2268634675
default,1,5,2,20,13.428234256,94425,2242309480
default,1,5,2,21,13.477426748,86775,2272765197
default,1,5,2,22,13.448318708,92450,2267866572
default,1,5,2,23,13.450246338,87175,2268095371
default,1,5,3,1,13.440520504,84750,2266456442
default,1,5,3,2,13.423865921,90475,2263603934
default,1,5,3,3,13.447228051,87950,2267686381
default,1,5,3,4,13.400225781,97925,2253045141
default,1,5,3,5,13.465921124,84025,2270864774
default,1,5,3,6,13.447568213,87450,2267768684
default,1,5,3,7,13.437016001,91300,2265979247
default,1,5,3,8,13.448102880,88050,2253604108
default,1,5,3,9,13.445773574,92525,2266861249
default,1,5,3,10,13.455932091,86725,2268335602
default,1,5,3,11,13.438619932,92250,2265196680
default,1,5,3,12,13.476670209,89675,2263960612
default,1,5,3,13,13.444976519,92700,2267304569
default,1,5,3,14,13.483031745,84025,2263997942
default,1,5,3,15,13.438413092,101175,2266094968
default,1,5,3,16,13.446454572,94650,2266942758
default,1,5,3,17,13.469466106,88950,2271443983
default,1,5,3,18,13.487038247,88425,2272213128
default,1,5,3,19,13.451912690,89075,2268541212
default,1,5,3,20,13.454248681,97800,2268906791
default,1,5,3,21,13.427369644,89450,2261756629
default,1,5,3,22,13.476468238,89325,2272546717
default,1,5,3,23,13.444630476,84925,2267200055
default,1,5,4,1,13.421530509,99500,2263126289
